"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1173	8.926067	2.476045	-4.327040	-0.775536	0.001628	0.631301	0.631301	-0.000420	0.775538	0.001527	0.999999	-0.000702
1174	8.887249	2.476127	-4.295525	-0.777075	0.001637	0.629406	0.629406	-0.000412	0.777077	0.001531	0.999999	-0.000710
1175	8.848356	2.476209	-4.264104	-0.778602	0.001646	0.627516	0.627516	-0.000405	0.778604	0.001536	0.999999	-0.000718
1176	8.809388	2.476291	-4.232776	-0.780118	0.001656	0.625631	0.625631	-0.000397	0.780119	0.001540	0.999999	-0.000726
1177	8.770343	2.476374	-4.201543	-0.781621	0.001665	0.623751	0.623751	-0.000390	0.781623	0.001544	0.999999	-0.000734
1178	8.731222	2.476458	-4.170405	-0.783113	0.001674	0.621877	0.621877	-0.000382	0.783114	0.001549	0.999999	-0.000742
1179	8.692027	2.476542	-4.139360	-0.784593	0.001683	0.620008	0.620009	-0.000375	0.784595	0.001553	0.999999	-0.000749
1180	8.652760	2.476626	-4.108408	-0.786062	0.001692	0.618145	0.618145	-0.000368	0.786064	0.001557	0.999999	-0.000757
1181	8.613420	2.476711	-4.077548	-0.787520	0.001701	0.616287	0.616287	-0.000360	0.787521	0.001562	0.999998	-0.000765
1182	8.574006	2.476796	-4.046782	-0.788966	0.001710	0.614434	0.614435	-0.000353	0.788968	0.001566	0.999998	-0.000772
1183	8.534520	2.476882	-4.016109	-0.790401	0.001719	0.612587	0.612588	-0.000346	0.790403	0.001571	0.999998	-0.000780
1184	8.494962	2.476968	-3.985528	-0.791825	0.001728	0.610746	0.610746	-0.000339	0.791827	0.001575	0.999998	-0.000787
1185	8.455334	2.477055	-3.955038	-0.793238	0.001737	0.608909	0.608910	-0.000332	0.793240	0.001580	0.999998	-0.000795
1186	8.415638	2.477142	-3.924639	-0.794640	0.001746	0.607078	0.607079	-0.000325	0.794642	0.001585	0.999998	-0.000802
1187	8.375869	2.477229	-3.894333	-0.796031	0.001755	0.605253	0.605253	-0.000318	0.796033	0.001589	0.999998	-0.000809
1188	8.336031	2.477317	-3.864118	-0.797412	0.001764	0.603433	0.603434	-0.000311	0.797413	0.001594	0.999998	-0.000817
1189	8.296124	2.477406	-3.833994	-0.798781	0.001773	0.601619	0.601619	-0.000304	0.798783	0.001599	0.999998	-0.000824
1190	8.256150	2.477495	-3.803960	-0.800140	0.001782	0.599810	0.599811	-0.000297	0.800142	0.001604	0.999998	-0.000831
1191	8.216109	2.477584	-3.774015	-0.801489	0.001791	0.598007	0.598007	-0.000290	0.801491	0.001609	0.999998	-0.000838
1192	8.176000	2.477674	-3.744162	-0.802827	0.001800	0.596209	0.596210	-0.000283	0.802829	0.001614	0.999998	-0.000845
1193	8.135823	2.477764	-3.714398	-0.804155	0.001808	0.594417	0.594418	-0.000277	0.804156	0.001619	0.999998	-0.000852
1194	8.095580	2.477855	-3.684724	-0.805472	0.001817	0.592631	0.592631	-0.000270	0.805474	0.001624	0.999998	-0.000859
1195	8.055273	2.477946	-3.655139	-0.806780	0.001826	0.590850	0.590850	-0.000263	0.806781	0.001629	0.999998	-0.000866
1196	8.014902	2.478037	-3.625642	-0.808077	0.001835	0.589074	0.589075	-0.000257	0.808079	0.001634	0.999998	-0.000873
1197	7.974464	2.478129	-3.596234	-0.809364	0.001843	0.587304	0.587305	-0.000250	0.809366	0.001639	0.999998	-0.000880
1198	7.933962	2.478222	-3.566915	-0.810641	0.001852	0.585540	0.585541	-0.000244	0.810643	0.001644	0.999998	-0.000887
1199	7.893396	2.478314	-3.537684	-0.811909	0.001861	0.583781	0.583782	-0.000237	0.811910	0.001649	0.999998	-0.000893
1200	7.852769	2.478408	-3.508540	-0.813166	0.001869	0.582028	0.582029	-0.000231	0.813168	0.001655	0.999998	-0.000900
1201	7.812079	2.478501	-3.479484	-0.814414	0.001878	0.580281	0.580282	-0.000225	0.814416	0.001660	0.999998	-0.000907
1202	7.771326	2.478596	-3.450515	-0.815652	0.001887	0.578539	0.578540	-0.000218	0.815654	0.001665	0.999998	-0.000913
1203	7.730510	2.478690	-3.421634	-0.816881	0.001895	0.576803	0.576804	-0.000212	0.816883	0.001671	0.999998	-0.000920
1204	7.689634	2.478785	-3.392839	-0.818100	0.001904	0.575073	0.575073	-0.000206	0.818102	0.001676	0.999998	-0.000926
1205	7.648698	2.478880	-3.364130	-0.819310	0.001913	0.573348	0.573348	-0.000200	0.819312	0.001682	0.999998	-0.000933
1206	7.607703	2.478976	-3.335506	-0.820510	0.001921	0.571628	0.571629	-0.000194	0.820512	0.001687	0.999998	-0.000939
1207	7.566646	2.479073	-3.306970	-0.821701	0.001930	0.569915	0.569916	-0.000188	0.821703	0.001693	0.999998	-0.000945
1208	7.525529	2.479169	-3.278519	-0.822883	0.001938	0.568207	0.568208	-0.000182	0.822885	0.001698	0.999998	-0.000952
1209	7.484354	2.479266	-3.250153	-0.824056	0.001947	0.566505	0.566506	-0.000176	0.824058	0.001704	0.999998	-0.000958
1210	7.443122	2.479364	-3.221871	-0.825220	0.001955	0.564808	0.564809	-0.000170	0.825222	0.001710	0.999998	-0.000964
1211	7.401832	2.479462	-3.193674	-0.826375	0.001964	0.563117	0.563118	-0.000164	0.826377	0.001715	0.999998	-0.000970
1212	7.360483	2.479560	-3.165563	-0.827521	0.001972	0.561432	0.561432	-0.000159	0.827523	0.001721	0.999998	-0.000976
1213	7.319076	2.479659	-3.137535	-0.828658	0.001981	0.559752	0.559753	-0.000153	0.828660	0.001727	0.999998	-0.000982
1214	7.277613	2.479758	-3.109591	-0.829786	0.001989	0.558078	0.558079	-0.000147	0.829788	0.001733	0.999998	-0.000988
1215	7.236096	2.479858	-3.081730	-0.830906	0.001998	0.556409	0.556410	-0.000142	0.830908	0.001739	0.999998	-0.000994
1216	7.194522	2.479958	-3.053953	-0.832017	0.002006	0.554746	0.554747	-0.000136	0.832019	0.001744	0.999998	-0.001000
1217	7.152893	2.480059	-3.026259	-0.833120	0.002014	0.553089	0.553090	-0.000131	0.833122	0.001750	0.999998	-0.001005
1218	7.111207	2.480160	-2.998648	-0.834214	0.002023	0.551438	0.551438	-0.000125	0.834216	0.001756	0.999998	-0.001011
1219	7.069468	2.480261	-2.971119	-0.835299	0.002031	0.549792	0.549793	-0.000120	0.835301	0.001762	0.999998	-0.001017
1220	7.027676	2.480363	-2.943671	-0.836377	0.002040	0.548151	0.548152	-0.000114	0.836379	0.001769	0.999998	-0.001022
1221	6.985830	2.480465	-2.916306	-0.837446	0.002048	0.546516	0.546517	-0.000109	0.837448	0.001775	0.999998	-0.001028
1222	6.943930	2.480567	-2.889022	-0.838507	0.002056	0.544887	0.544888	-0.000104	0.838509	0.001781	0.999998	-0.001033
1223	6.901976	2.480670	-2.861821	-0.839560	0.002065	0.543263	0.543264	-0.000099	0.839562	0.001787	0.999998	-0.001039
1224	6.859971	2.480774	-2.834700	-0.840604	0.002073	0.541646	0.541647	-0.000094	0.840606	0.001793	0.999998	-0.001044
1225	6.817914	2.480878	-2.807659	-0.841641	0.002081	0.540033	0.540034	-0.000089	0.841643	0.001800	0.999998	-0.001049
1226	6.775806	2.480982	-2.780698	-0.842670	0.002090	0.538427	0.538428	-0.000084	0.842672	0.001806	0.999998	-0.001055
1227	6.733646	2.481087	-2.753819	-0.843691	0.002098	0.536826	0.536827	-0.000079	0.843692	0.001812	0.999998	-0.001060
1228	6.691434	2.481192	-2.727020	-0.844703	0.002106	0.535231	0.535232	-0.000074	0.844705	0.001819	0.999998	-0.001065
1229	6.649173	2.481297	-2.700300	-0.845709	0.002115	0.533641	0.533642	-0.000069	0.845710	0.001825	0.999998	-0.001070
1230	6.606862	2.481403	-2.673658	-0.846706	0.002123	0.532057	0.532058	-0.000064	0.846708	0.001832	0.999998	-0.001075
1231	6.564502	2.481510	-2.647096	-0.847696	0.002131	0.530478	0.530479	-0.000059	0.847698	0.001838	0.999998	-0.001080
1232	6.522091	2.481616	-2.620613	-0.848678	0.002140	0.528905	0.528906	-0.000055	0.848680	0.001845	0.999998	-0.001085
1233	6.479631	2.481724	-2.594209	-0.849653	0.002148	0.527338	0.527339	-0.000050	0.849655	0.001851	0.999998	-0.001090
1234	6.437123	2.481831	-2.567883	-0.850620	0.002156	0.525776	0.525777	-0.000045	0.850622	0.001858	0.999998	-0.001095
1235	6.394568	2.481939	-2.541634	-0.851580	0.002165	0.524220	0.524221	-0.000041	0.851582	0.001865	0.999998	-0.001100
1236	6.351964	2.482048	-2.515463	-0.852531	0.002173	0.522673	0.522674	-0.000037	0.852533	0.001872	0.999998	-0.001105
1237	6.309313	2.482157	-2.489370	-0.853473	0.002181	0.521133	0.521134	-0.000032	0.853475	0.001878	0.999998	-0.001109
1238	6.266614	2.482266	-2.463354	-0.854409	0.002190	0.519597	0.519598	-0.000028	0.854411	0.001885	0.999998	-0.001114
1239	6.223869	2.482376	-2.437415	-0.855342	0.002198	0.518059	0.518060	-0.000024	0.855344	0.001892	0.999998	-0.001118
1240	6.181078	2.482486	-2.411551	-0.856274	0.002206	0.516518	0.516519	-0.000019	0.856276	0.001899	0.999998	-0.001123
1241	6.138242	2.482596	-2.385763	-0.857195	0.002214	0.514987	0.514988	-0.000015	0.857197	0.001906	0.999998	-0.001128
1242	6.095360	2.482707	-2.360051	-0.858111	0.002223	0.513460	0.513461	-0.000011	0.858113	0.001913	0.999998	-0.001132
1243	6.052432	2.482818	-2.334415	-0.859029	0.002231	0.511923	0.511924	-0.000007	0.859031	0.001920	0.999998	-0.001137
1244	6.009457	2.482930	-2.308858	-0.859958	0.002239	0.510360	0.510361	-0.000003	0.859960	0.001927	0.999997	-0.001141
